group,category,service,zip_path
48_Dark,,Internet alt2,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Internet-alt2_48_Dark.svg
48_Dark,,Internet alt1,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Internet-alt1_48_Dark.png
48_Dark,,Cold Storage,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Cold-Storage_48_Dark.png
48_Dark,,Toolkit,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Toolkit_48_Dark.svg
48_Dark,,Client,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Client_48_Dark.png
48_Dark,,Alert,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Alert_48_Dark.png
48_Dark,,Magnifying Glass,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Magnifying-Glass_48_Dark.svg
48_Dark,,Shield,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Shield_48_Dark.png
48_Dark,,JSON Script,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_JSON-Script_48_Dark.png
48_Dark,,Mobile client,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Mobile-client_48_Dark.png
48_Dark,,Folders,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Folders_48_Dark.svg
48_Dark,,Metrics,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Metrics_48_Dark.svg
48_Dark,,Servers,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Servers_48_Dark.svg
48_Dark,,Generic Application,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Generic-Application_48_Dark.png
48_Dark,,SDK,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_SDK_48_Dark.png
48_Dark,,Internet,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Internet_48_Dark.png
48_Dark,,Chat,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Chat_48_Dark.svg
48_Dark,,Document,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Document_48_Dark.svg
48_Dark,,Database,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Database_48_Dark.svg
48_Dark,,Documents,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Documents_48_Dark.png
48_Dark,,User,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_User_48_Dark.png
48_Dark,,Data Table,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Data-Table_48_Dark.png
48_Dark,,SSL padlock,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_SSL-padlock_48_Dark.png
48_Dark,,Data Stream,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Data-Stream_48_Dark.png
48_Dark,,Gear,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Gear_48_Dark.png
48_Dark,,Forums,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Forums_48_Dark.svg
48_Dark,,Programming Language,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Programming-Language_48_Dark.png
48_Dark,,Git Repository,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Git-Repository_48_Dark.svg
48_Dark,,Email,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Email_48_Dark.png
48_Dark,,Office building,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Office-building_48_Dark.png
48_Dark,,Multimedia,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Multimedia_48_Dark.svg
48_Dark,,Credentials,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Credentials_48_Dark.png
48_Dark,,Question,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Question_48_Dark.svg
48_Dark,,SAML token,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_SAML-token_48_Dark.png
48_Light,,Client,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Client_48_Light.svg
48_Light,,Programming Language,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Programming-Language_48_Light.png
48_Light,,AWS Management Console,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_AWS-Management-Console_48_Light.svg
48_Light,,Server,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Server_48_Light.svg
48_Light,,Git Repository,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Git-Repository_48_Light.svg
48_Light,,Internet,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Internet_48_Light.svg
48_Light,,Data Table,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Data-Table_48_Light.svg
48_Light,,Question,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Question_48_Light.png
48_Light,,Document,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Document_48_Light.png
48_Light,,SAML token,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_SAML-token_48_Light.png
48_Light,,Camera,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Camera_48_Light.svg
48_Light,,Multimedia,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Multimedia_48_Light.png
48_Light,,Toolkit,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Toolkit_48_Light.png
48_Light,,Forums,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Forums_48_Light.svg
48_Light,,Internet alt1,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Internet-alt1_48_Light.svg
48_Light,,Metrics,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Metrics_48_Light.png
48_Light,,Globe,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Globe_48_Light.png
48_Light,,Generic Application,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Generic-Application_48_Light.png
48_Light,,Users,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Users_48_Light.svg
48_Light,,Gear,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Gear_48_Light.png
48_Light,,Authenticated User,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Authenticated-User_48_Light.png
48_Light,,Logs,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Logs_48_Light.png
