icon_type,file_path,file_name,stem,dir_name,candidate_name,canonical_service_name,coarse_class,service_code_mapped,matched
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Chatbot_48.svg,Arch_AWS-Chatbot_48.svg,Arch_AWS-Chatbot_48,48,Arch AWS Chatbot,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Health-Dashboard_48.svg,Arch_AWS-Health-Dashboard_48.svg,Arch_AWS-Health-Dashboard_48,48,Arch AWS Health Dashboard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_Amazon-Managed-Service-for-Prometheus_48.svg,Arch_Amazon-Managed-Service-for-Prometheus_48.svg,Arch_Amazon-Managed-Service-for-Prometheus_48,48,Arch Amazon Managed Service for Prometheus,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Auto-Scaling_48.svg,Arch_AWS-Auto-Scaling_48.svg,Arch_AWS-Auto-Scaling_48,48,Arch AWS Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Distro-for-OpenTelemetry_48.svg,Arch_AWS-Distro-for-OpenTelemetry_48.svg,Arch_AWS-Distro-for-OpenTelemetry_48,48,Arch AWS Distro for OpenTelemetry,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Console-Mobile-Application_48.svg,Arch_AWS-Console-Mobile-Application_48.svg,Arch_AWS-Console-Mobile-Application_48,48,Arch AWS Console Mobile Application,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_Amazon-Managed-Grafana_48.svg,Arch_Amazon-Managed-Grafana_48.svg,Arch_Amazon-Managed-Grafana_48,48,Arch Amazon Managed Grafana,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Proton_48.svg,Arch_AWS-Proton_48.svg,Arch_AWS-Proton_48,48,Arch AWS Proton,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-User-Notifications_48.svg,Arch_AWS-User-Notifications_48.svg,Arch_AWS-User-Notifications_48,48,Arch AWS User Notifications,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Compute-Optimizer_48.svg,Arch_AWS-Compute-Optimizer_48.svg,Arch_AWS-Compute-Optimizer_48,48,Arch AWS Compute Optimizer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Launch-Wizard_48.svg,Arch_AWS-Launch-Wizard_48.svg,Arch_AWS-Launch-Wizard_48,48,Arch AWS Launch Wizard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Application-Auto-Scaling_48.svg,Arch_AWS-Application-Auto-Scaling_48.svg,Arch_AWS-Application-Auto-Scaling_48,48,Arch AWS Application Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_Alexa-For-Business_64.svg,Arch_Alexa-For-Business_64.svg,Arch_Alexa-For-Business_64,64,Arch Alexa For Business,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_AWS-Supply-Chain_64.svg,Arch_AWS-Supply-Chain_64.svg,Arch_AWS-Supply-Chain_64,64,Arch AWS Supply Chain,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_AWS-End-User-Messaging_64.svg,Arch_AWS-End-User-Messaging_64.svg,Arch_AWS-End-User-Messaging_64,64,Arch AWS End User Messaging,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_Amazon-Simple-Email-Service_64.svg,Arch_Amazon-Simple-Email-Service_64.svg,Arch_Amazon-Simple-Email-Service_64,64,Arch Amazon Simple Email Service,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_Amazon-Pinpoint-APIs_64.svg,Arch_Amazon-Pinpoint-APIs_64.svg,Arch_Amazon-Pinpoint-APIs_64,64,Arch Amazon Pinpoint APIs,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_AWS-Wickr_64.svg,Arch_AWS-Wickr_64.svg,Arch_AWS-Wickr_64,64,Arch AWS Wickr,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_AWS-AppFabric_64.svg,Arch_AWS-AppFabric_64.svg,Arch_AWS-AppFabric_64,64,Arch AWS AppFabric,,,,False
