number,value,datetime_start,datetime_complete,duration,params_lr0,params_lrf,params_momentum,params_optimizer,params_patience,params_weight_decay,state
26,0.7911574113759009,2025-12-10 05:58:57.438046,2025-12-10 06:02:32.797223,0 days 00:03:35.359177,0.004359527293474798,0.08902985131094601,0.945393375284158,SGD,40,0.00041953637382546665,COMPLETE
27,0.7943687631454617,2025-12-10 06:02:32.803055,2025-12-10 06:07:57.358094,0 days 00:05:24.555039,0.006289291736255155,0.056197508267382686,0.9668551550358865,AdamW,45,0.0003064669695847376,COMPLETE
28,0.8011548950758408,2025-12-10 06:07:57.363912,2025-12-10 06:12:49.655375,0 days 00:04:52.291463,0.002431683435645001,0.03677868599058682,0.9370262707968702,AdamW,40,0.000517467024699819,COMPLETE
29,0.7984362764661356,2025-12-10 06:12:49.660873,2025-12-10 06:18:24.127189,0 days 00:05:34.466316,0.0037722267496109853,0.06975859749517963,0.9564806622739296,AdamW,35,0.00028740409647053355,COMPLETE
30,0.7905318932379904,2025-12-10 06:18:24.132865,2025-12-10 06:23:08.696525,0 days 00:04:44.563660,0.0068697961254732005,0.06022340429514004,0.9502043455271126,AdamW,45,0.00013393508095436974,COMPLETE
31,0.8028754367778854,2025-12-10 06:23:08.702039,2025-12-10 06:26:31.238793,0 days 00:03:22.536754,0.0020796148804020655,0.07591145276243981,0.9609503572089887,AdamW,50,0.0007546101026671392,COMPLETE
32,0.7980042916577831,2025-12-10 06:26:31.244505,2025-12-10 06:29:35.435470,0 days 00:03:04.190965,0.002133718918356648,0.08470575660218266,0.9526826376809477,AdamW,50,0.0007862610836148127,COMPLETE
33,0.7983945005794592,2025-12-10 06:29:35.440947,2025-12-10 06:34:19.848835,0 days 00:04:44.407888,0.002858593705401499,0.09180314433334752,0.9771458649211849,AdamW,45,0.0009033573823256667,COMPLETE
34,0.79935918108313,2025-12-10 06:34:19.854201,2025-12-10 06:37:39.193005,0 days 00:03:19.338804,0.0012167356101096302,0.0729922642568356,0.9676363874949339,AdamW,50,0.0007328473435474875,COMPLETE
35,0.8040458697832125,2025-12-10 06:37:39.199425,2025-12-10 06:42:59.815122,0 days 00:05:20.615697,0.0011962290636414862,0.08160229307346509,0.9523379817164893,AdamW,45,0.000575816470832367,COMPLETE
